Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,J. Winston QB - TB ,10.48,L. Miller RB - HOU ,14.90,L. Murray RB - LV ,7.20,M. Evans WR - TB ,5.90,D. Adams WR - GB ,2.50,C. Brate TE - TB ,13.30,D. Inman WR - LAC ,6.80,J. Lambo K - LAC ,4.00,Dolphins DEF ,21.00,J. Maclin WR - KC ,8.20,J. Starks RB - GB ,0.00,V. Green TE - DEN ,0.90,B. Powell RB - NYJ ,16.20,J. Jones WR - ATL ,0.00,C. Newton QB - CAR ,20.00,M. Ingram RB - NO ,9.20,C. Palmer QB - ARI ,20.72,T. Benjamin WR - LAC ,11.60,A. Morris RB - DAL ,0.00,J. Reed TE - WAS ,0.60,S. Diggs WR - MIN ,1.30,K. White WR - CHI ,0.00,S. Gostkowski K - NE ,10.00,Panthers DEF ,8.00,-,-,-,-,86.08,bob,98.16
Dannye Van,8,D. Carr QB - LV ,11.02,D. Martin RB - TB ,4.20,J. Hill RB - CIN ,11.10,S. Watkins WR - BUF ,1.00,T. Boyd WR - CIN ,1.30,K. Rudolph TE - MIN ,9.70,D. Hopkins WR - HOU ,8.70,B. McManus K - DEN ,3.00,Broncos DEF ,3.00,J. Stewart RB - CAR ,14.00,M. Crabtree WR - LV ,12.00,D. Walker TE - TEN ,5.50,A. Luck QB - IND ,18.80,A. Jeffery WR - CHI ,14.90,K. Benjamin WR - CAR ,2.00,J. Matthews WR - PHI ,2.70,J. Langford RB - CHI ,2.20,D. Green-Beckham WR - PHI ,1.10,K. Dixon RB - BAL ,9.60,T. Sharpe WR - TEN ,1.00,P. Perkins RB - NYG ,5.60,T. Hill WR - KC ,12.80,R. Kelley RB - WAS ,11.50,D. Bailey K - DAL ,14.00,G. Bernard RB - CIN ,0.00,-,-,53.02,Matthew,85.00
Tilly,7,B. Roethlisberger QB - PIT ,14.94,T. West RB - BAL ,12.20,T. Rawls RB - SEA ,3.90,J. Edelman WR - NE ,7.50,C. Beasley WR - DAL ,4.80,M. Bennett TE - NE ,3.50,J. Nelson WR - GB ,12.40,A. Vinatieri K - IND ,12.00,Giants DEF ,12.00,A. Dalton QB - CIN ,10.38,L. Kendricks TE - LA ,0.50,M. Asiata RB - MIN ,2.00,D. Williams RB - PIT ,0.00,V. Cruz WR - NYG ,2.90,B. Osweiler QB - HOU ,-2.08,R. Woods WR - BUF ,0.50,B. Cooks WR - NO ,30.60,J. McKinnon RB - MIN ,7.10,T. Montgomery RB - GB ,28.30,H. Henry TE - LAC ,9.70,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,8.00,Cowboys DEF ,13.00,V. Jackson WR - TB ,0.00,A. Peterson RB - MIN ,0.30,-,-,83.24,Chris,53.12
LeMar,6,M. Stafford QB - DET ,10.22,D. Murray RB - TEN ,14.10,M. Gordon RB - LAC ,0.00,D. Thomas WR - DEN ,9.10,R. Cobb WR - GB ,0.00,G. Olsen TE - CAR ,8.50,R. Jennings RB - NYG ,3.80,W. Lutz K - NO ,12.00,Cardinals DEF ,7.00,M. Ryan QB - ATL ,19.34,J. Tamme TE - ATL ,0.00,T. Hightower RB - NO ,16.80,R. Mathews RB - PHI ,21.30,J. Thomas TE - JAX ,0.00,T. Smith WR - SF ,0.00,J. Rodgers RB - TB ,0.00,A. Gates TE - LAC ,1.10,R. Matthews WR - TEN ,8.50,M. Wheaton WR - PIT ,0.00,E. Lacy RB - GB ,0.00,K. Davis RB - KC ,0.00,A. Hurns WR - JAX ,0.00,J. Goff QB - LA ,5.40,Seahawks DEF ,11.00,-,-,-,-,64.72,-,-
Quinten,5,A. Rodgers QB - GB ,11.98,W. Smallwood RB - PHI ,0.00,D. Henry RB - TEN ,17.80,E. Sanders WR - DEN ,4.80,A. Robinson WR - JAX ,1.50,J. Graham TE - SEA ,3.10,D. Moncrief WR - IND ,0.00,C. Catanzaro K - ARI ,5.00,Patriots DEF ,17.00,D. Jackson WR - WAS ,11.10,J. Cook TE - GB ,8.50,S. Vereen RB - NYG ,2.00,P. Rivers QB - LAC ,14.24,K. Juszczyk RB - BAL ,1.50,E. Ebron TE - DET ,3.60,C. Hyde RB - SF ,5.70,C. Sims RB - TB ,1.90,J. Brown WR - ARI ,14.10,T. Yeldon RB - JAX ,6.20,W. Fuller WR - HOU ,3.90,M. Prater K - DET ,6.00,C. Barth K - CHI ,9.00,C. Santos K - KC ,5.00,Lions DEF ,3.00,-,-,-,-,61.18,-,-
bob,3,D. Prescott QB - DAL ,19.16,L. Bell RB - PIT ,13.10,D. Freeman RB - ATL ,31.50,A. Brown WR - PIT ,5.80,J. Crowder WR - WAS ,0.40,T. Kelce TE - KC ,4.10,L. Blount RB - NE ,9.10,C. Sturgis K - PHI ,12.00,Ravens DEF ,3.00,G. Barnidge TE - CLE ,3.50,D. Bryant WR - DAL ,8.20,B. LaFell WR - CIN ,9.10,B. Marshall WR - NYJ ,1.60,M. Jones WR - DET ,4.10,R. Tannehill QB - MIA ,0.00,B. Bortles QB - JAX ,7.18,D. Parker WR - MIA ,1.70,D. Funchess WR - CAR ,0.00,T. Gurley RB - LA ,3.60,M. Mitchell WR - NE ,1.40,D. Booker RB - DEN ,3.30,J. Howard RB - CHI ,17.30,M. Thomas WR - NO ,11.20,Chargers DEF ,7.00,E. Decker WR - NYJ ,0.00,-,-,98.16,Will,86.08
the old man,4,T. Taylor QB - BUF ,15.86,L. McCoy RB - BUF ,28.90,F. Gore RB - IND ,11.50,L. Fitzgerald WR - ARI ,3.70,T. Hilton WR - IND ,4.50,J. Gresham TE - ARI ,4.20,T. Gabriel WR - ATL ,12.00,M. Bryant K - ATL ,13.00,Bills DEF ,9.00,G. Tate WR - DET ,12.20,T. Brady QB - NE ,7.42,D. Baldwin WR - SEA ,9.50,T. Pryor WR - CLE ,1.90,T. Austin WR - LA ,2.70,M. Gillislee RB - BUF ,9.70,C. Thompson RB - WAS ,3.60,J. White RB - NE ,3.50,C. Walford TE - LV ,1.30,M. Mariota QB - TEN ,5.44,A. Cooper WR - LV ,2.80,T. Siemian QB - DEN ,9.68,S. Shepard WR - NYG ,11.60,D. Hopkins K - WAS ,9.00,Eagles DEF ,7.00,R. Gronkowski TE - NE ,0.00,A. Abdullah RB - DET ,0.00,102.66,Jeff,92.96
Jeff,1,R. Wilson QB - SEA ,20.36,I. Crowell RB - CLE ,2.80,D. Johnson RB - ARI ,22.80,J. Landry WR - MIA ,16.80,O. Beckham WR - NYG ,13.30,T. Eifert TE - CIN ,0.90,T. Williams WR - LAC ,2.00,S. Hauschka K - SEA ,6.00,Chiefs DEF ,8.00,M. Forte RB - NYJ ,2.80,J. Charles RB - KC ,0.00,K. Britt WR - LA ,5.00,S. Bradford QB - MIN ,7.64,A. Green WR - CIN ,0.00,D. Brees QB - NO ,29.36,M. Floyd WR - NE ,0.00,C. Michael RB - GB ,10.50,S. Ware RB - KC ,9.40,T. Coleman RB - ATL ,6.60,J. James TE - PIT ,0.00,M. Jones RB - WAS ,0.00,K. Drake RB - MIA ,1.60,C. Coleman WR - CLE ,2.40,Rams DEF ,4.00,D. Woodhead RB - LAC ,0.00,K. Allen WR - LAC ,0.00,92.96,the old man,102.66
Chris,10,A. Smith QB - KC ,11.62,D. Johnson RB - CLE ,9.30,J. Richard RB - LV ,4.90,P. Garcon WR - WAS ,7.80,Q. Enunwa WR - NYJ ,6.40,J. Witten TE - DAL ,3.10,J. Kearse WR - SEA ,0.00,J. Tucker K - BAL ,11.00,Vikings DEF ,-1.00,D. Amendola WR - NE ,0.00,B. Gabbert QB - SF ,0.00,E. Manning QB - NYG ,16.04,D. Sproles RB - PHI ,0.00,M. Wallace WR - BAL ,6.00,C. Hogan WR - NE ,1.80,D. Allen TE - IND ,1.30,C. Anderson RB - DEN ,0.00,W. Snead WR - NO ,7.60,R. Rodgers TE - GB ,1.00,D. Williams RB - MIA ,0.00,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,0.00,B. Walsh K ,0.00,Steelers DEF ,4.00,-,-,-,-,53.12,Tilly,83.24
Matthew,9,K. Cousins QB - WAS ,9.70,J. Ajayi RB - MIA ,5.10,E. Elliott RB - DAL ,24.80,M. Sanu WR - ATL ,4.40,T. Lockett WR - SEA ,19.00,Z. Ertz TE - PHI ,8.00,T. Riddick RB - DET ,0.00,M. Crosby K - GB ,12.00,Redskins DEF ,2.00,J. Flacco QB - BAL ,12.14,E. Royal WR - CHI ,0.00,D. Lewis RB - NE ,10.40,R. Fitzpatrick QB - NYJ ,0.34,C. Ivory RB - JAX ,4.40,C. Fleener TE - NO ,1.00,L. Green TE - PIT ,7.20,K. Wright WR - TEN ,1.90,J. Doyle TE - IND ,3.20,P. Dorsett WR - IND ,11.00,N. Agholor WR - PHI ,1.00,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,11.60,Texans DEF ,7.00,Z. Miller TE - CHI ,0.00,-,-,-,-,85.00,Dannye Van,53.02
