Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,Total,Opponent,Opponent Total
Will,1,C. Newton QB - CAR ,13.08,L. Blount RB - NE ,22.50,L. Miller RB - HOU ,10.70,J. Jones WR - ATL ,1.60,A. Brown WR - PIT ,14.00,J. Reed TE - WAS ,5.60,T. Benjamin WR - LAC ,6.20,S. Gostkowski K - NE ,9.00,Dolphins DEF ,7.00,J. Maclin WR - KC ,3.50,V. Green TE - DEN ,0.00,B. Powell RB - NYJ ,5.10,C. Palmer QB - ARI ,3.48,R. Hillman RB - LAC ,0.00,A. Morris RB - DAL ,8.10,J. Gordon WR - CLE ,0.00,C. Thompson RB - WAS ,1.60,F. Whittaker RB - CAR ,5.60,S. Watkins WR - BUF ,0.00,D. Adams WR - GB ,8.30,J. McKinnon RB - MIN ,6.70,S. Diggs WR - MIN ,4.00,K. Dixon RB - BAL ,0.00,Panthers DEF ,3.00,89.68,LeMar,86.00
Dannye Van,6,A. Luck QB - IND ,13.24,G. Bernard RB - CIN ,4.40,J. Langford RB - CHI ,4.60,K. Benjamin WR - CAR ,0.00,J. Landry WR - MIA ,19.60,K. Rudolph TE - MIN ,13.00,D. Hopkins WR - HOU ,5.60,C. Boswell K - PIT ,3.00,Broncos DEF ,9.00,J. Stewart RB - CAR ,0.00,M. Crabtree WR - LV ,10.20,A. Foster RB - MIA ,0.00,D. Walker TE - TEN ,0.00,A. Jeffery WR - CHI ,7.00,L. Murray RB - LV ,9.80,D. Carr QB - LV ,11.86,J. Matthews WR - PHI ,7.90,J. Hill RB - CIN ,21.70,D. Green-Beckham WR - PHI ,3.30,K. White WR - CHI ,6.20,T. Sharpe WR - TEN ,4.80,P. Perkins RB - NYG ,0.00,T. Boyd WR - CIN ,1.80,D. Washington RB - DET ,3.50,72.44,bob,136.56
Tilly,7,B. Roethlisberger QB - PIT ,6.98,D. Williams RB - PIT ,4.40,J. Ferguson RB - IND ,3.10,J. Nelson WR - GB ,22.10,B. Cooks WR - NO ,1.90,M. Bennett TE - NE ,1.60,J. Edelman WR - NE ,5.20,A. Vinatieri K - IND ,8.00,Packers DEF ,5.00,C. Johnson RB - ARI ,0.50,A. Dalton QB - CIN ,10.24,V. Jackson WR - TB ,3.70,A. Peterson RB - MIN ,0.00,V. Cruz WR - NYG ,7.00,B. Osweiler QB - HOU ,7.14,R. Woods WR - BUF ,5.10,T. West RB - BAL ,5.30,J. Winston QB - TB ,25.50,C. Uzomah TE - CIN ,3.10,T. Rawls RB - SEA ,0.00,P. Lynch QB - DEN ,0.00,C. Prosise RB - SEA ,0.00,R. Aguayo K - TB ,2.00,Colts DEF ,9.00,58.28,Quinten,136.64
LeMar,9,M. Stafford QB - DET ,26.50,R. Jennings RB - NYG ,0.00,D. Murray RB - TEN ,21.50,D. Thomas WR - DEN ,14.00,M. Wheaton WR - PIT ,0.20,J. Thomas TE - JAX ,1.30,E. Lacy RB - GB ,10.50,M. Bryant K - ATL ,9.00,Seahawks DEF ,3.00,M. Ryan QB - ATL ,19.90,T. Hightower RB - NO ,1.90,R. Mathews RB - PHI ,-0.50,R. Cobb WR - GB ,3.30,T. Smith WR - SF ,3.50,G. Olsen TE - CAR ,6.40,A. Gates TE - LAC ,0.00,R. Matthews WR - TEN ,3.20,K. Davis RB - KC ,0.00,A. Seferian-Jenkins TE - NYJ ,0.00,A. Hurns WR - JAX ,4.00,M. Gordon RB - LAC ,13.80,C. Coleman WR - CLE ,0.00,J. Goff QB - LA ,0.00,Cardinals DEF ,8.00,86.00,Will,89.68
Quinten,2,P. Rivers QB - LAC ,11.24,C. Hyde RB - SF ,24.50,C. Sims RB - TB ,18.40,A. Robinson WR - JAX ,17.70,W. Fuller WR - HOU ,3.10,J. Graham TE - SEA ,14.00,E. Sanders WR - DEN ,23.70,C. Catanzaro K - ARI ,6.00,Patriots DEF ,18.00,D. Jackson WR - WAS ,15.60,J. Cook TE - GB ,1.50,S. Vereen RB - NYG ,13.50,A. Rodgers QB - GB ,26.40,E. Ebron TE - DET ,6.90,D. Moncrief WR - IND ,0.00,J. Brown WR - ARI ,7.00,T. Yeldon RB - JAX ,2.80,D. Henry RB - TEN ,4.50,C. Santos K - KC ,6.00,Lions DEF ,1.00,-,-,-,-,-,-,-,-,136.64,Tilly,58.28
bob,4,R. Tannehill QB - MIA ,18.96,M. Ingram RB - NO ,18.70,D. Freeman RB - ATL ,26.70,E. Decker WR - NYJ ,3.10,M. Evans WR - TB ,19.20,T. Kelce TE - KC ,14.90,T. Gurley RB - LA ,20.00,G. Gano K - CAR ,4.00,Ravens DEF ,11.00,G. Barnidge TE - CLE ,8.60,D. Bryant WR - DAL ,10.00,B. Marshall WR - NYJ ,2.70,M. Jones WR - DET ,32.50,L. Bell RB - PIT ,0.00,B. Bortles QB - JAX ,11.46,C. Artis-Payne RB - CAR ,5.80,D. Parker WR - MIA ,11.10,D. Funchess WR - CAR ,0.00,E. Rogers WR - PIT ,3.20,D. Booker RB - DEN ,2.50,D. Prescott QB - DAL ,23.52,J. Howard RB - CHI ,9.20,M. Thomas WR - NO ,13.10,Jets DEF ,8.00,136.56,Dannye Van,72.44
the old man,5,M. Mariota QB - TEN ,4.76,L. McCoy RB - BUF ,23.60,F. Gore RB - IND ,14.30,T. Hilton WR - IND ,23.40,A. Cooper WR - LV ,6.20,R. Gronkowski TE - NE ,0.00,L. Fitzgerald WR - ARI ,6.00,D. Bailey K - DAL ,7.00,Bengals DEF ,3.00,J. Forsett RB - DEN ,3.20,G. Tate WR - DET ,3.20,T. Taylor QB - BUF ,16.36,T. Brady QB - NE ,0.00,T. Ginn WR - CAR ,6.70,D. Baldwin WR - SEA ,22.00,R. Turbin RB - IND ,6.90,T. Austin WR - LA ,16.40,J. White RB - NE ,1.40,J. Garoppolo QB - NE ,0.00,A. Abdullah RB - DET ,0.00,C. Walford TE - LV ,2.70,S. Shepard WR - NYG ,13.30,D. Washington RB - LV ,6.20,Eagles DEF ,15.00,88.26,Matthew,65.54
Jeff,3,D. Brees QB - NO ,25.94,M. Forte RB - NYJ ,6.40,I. Crowell RB - CLE ,7.90,A. Green WR - CIN ,7.70,O. Beckham WR - NYG ,12.10,J. James TE - PIT ,1.00,D. Johnson RB - ARI ,23.10,S. Hauschka K - SEA ,13.00,Rams DEF ,12.00,J. Charles RB - KC ,0.00,D. Woodhead RB - LAC ,0.00,K. Britt WR - LA ,1.80,M. Floyd WR - NE ,6.50,D. Martin RB - TB ,0.00,R. Wilson QB - SEA ,14.02,C. Michael RB - GB ,23.10,T. Eifert TE - CIN ,0.00,K. Allen WR - LAC ,0.00,S. Ware RB - KC ,6.30,M. Bryant WR - PIT ,0.00,T. Coleman RB - ATL ,26.90,M. Jones RB - WAS ,7.90,K. Drake RB - MIA ,4.80,J. Doctson WR - WAS ,0.00,109.14,Chris,47.88
Chris,8,A. Smith QB - KC ,13.18,C. Anderson RB - DEN ,4.10,D. Johnson RB - CLE ,8.10,J. Kearse WR - SEA ,1.10,W. Snead WR - NO ,0.00,D. Allen TE - IND ,3.50,M. Wallace WR - BAL ,3.90,J. Tucker K - BAL ,15.00,Steelers DEF ,-1.00,P. Garcon WR - WAS ,5.90,D. Amendola WR - NE ,2.30,B. Gabbert QB - SF ,4.96,J. Witten TE - DAL ,2.50,E. Manning QB - NYG ,14.00,D. Sproles RB - PHI ,18.70,C. Hogan WR - NE ,0.30,A. Blue RB - HOU ,1.20,Q. Enunwa WR - NYJ ,3.70,R. Rodgers TE - GB ,6.90,L. Treadwell WR - MIN ,0.00,A. Janovich RB - DEN ,1.50,J. Richard RB - LV ,4.10,B. Walsh K ,6.00,Vikings DEF ,26.00,47.88,Jeff,109.14
Matthew,10,K. Cousins QB - WAS ,19.34,J. Ajayi RB - MIA ,8.80,E. Elliott RB - DAL ,16.00,E. Royal WR - CHI ,2.10,N. Agholor WR - PHI ,2.10,J. Doyle TE - IND ,6.50,P. Dorsett WR - IND ,2.70,N. Novak K - HOU ,0.00,Redskins DEF ,8.00,J. Flacco QB - BAL ,11.76,Z. Miller TE - CHI ,19.80,R. Fitzpatrick QB - NYJ ,-2.28,C. Ivory RB - JAX ,2.30,C. Fleener TE - NO ,16.90,L. Green TE - PIT ,0.00,K. Wright WR - TEN ,0.00,M. Sanu WR - ATL ,3.10,T. Riddick RB - DET ,4.80,Z. Ertz TE - PHI ,0.00,T. Lockett WR - SEA ,0.00,J. Allen RB - BAL ,0.00,C. Wentz QB - PHI ,21.04,M. Crosby K - GB ,10.00,Texans DEF ,1.00,65.54,the old man,88.26
