Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Will,3,C. Newton QB - CAR ,31.48,M. Ingram RB - NO ,27.10,J. Williams RB - GB ,3.00,J. Jones WR - ATL ,5.40,D. Adams WR - GB ,11.70,C. Brate TE - TB ,4.90,L. Miller RB - HOU ,3.30,S. Gostkowski K - NE ,7.00,Bengals DEF ,3.00,J. Stewart RB - CAR ,3.60,J. Maclin WR - BAL ,2.20,K. Rudolph TE - MIN ,7.70,S. Vereen RB - NYG ,3.00,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,0.00,M. Evans WR - TB ,13.90,C. West RB - KC ,0.60,J. Winston QB - TB ,25.76,S. Diggs WR - MIN ,9.70,K. White WR - CHI ,0.00,J. Goff QB - LA ,10.80,E. Engram TE - NYG ,10.10,M. Mack RB - IND ,1.40,Patriots DEF ,4.00,T. Sharpe WR - TEN ,0.00,-,-,-,-,96.88,-,-
Dannye Van,4,B. Bortles QB - JAX ,25.04,L. McCoy RB - BUF ,21.60,S. Perine RB - WAS ,6.60,J. Gordon WR - CLE ,4.70,T. Hill WR - KC ,14.80,D. Walker TE - TEN ,7.70,D. Hopkins WR - HOU ,14.00,H. Butker K - KC ,14.00,Vikings DEF ,17.00,M. Crabtree WR - LV ,15.90,M. Jones WR - DET ,8.50,A. Jeffery WR - PHI ,10.90,A. Morris RB - DAL ,6.10,M. Gillislee RB - NE ,0.00,S. Watkins WR - LA ,1.40,D. Carr QB - LV ,17.54,J. Allen RB - BAL ,7.40,C. Coleman WR - CLE ,1.60,O. Howard TE - TB ,9.00,D. Westbrook WR - JAX ,2.10,A. Jones RB - GB ,5.30,A. Rosas K - NYG ,5.00,Broncos DEF ,5.00,-,-,-,-,-,-,-,-,125.44,bob,118.78
Tilly,2,A. Smith QB - KC ,18.54,K. Drake RB - MIA ,17.30,C. McCaffrey RB - CAR ,19.60,B. Cooks WR - NE ,12.00,R. Anderson WR - NYJ ,4.00,H. Henry TE - LAC ,2.80,K. Williams RB - ARI ,6.10,W. Lutz K - NO ,7.00,Jaguars DEF ,10.00,J. Nelson WR - GB ,2.80,J. Cook TE - LV ,1.70,B. Roethlisberger QB - PIT ,18.24,A. Peterson RB - ARI ,0.00,K. Stills WR - MIA ,0.80,J. Garoppolo QB - SF ,18.64,D. Williams RB - MIA ,0.00,N. Agholor WR - PHI ,11.90,T. Rawls RB - SEA ,0.00,T. Williams WR - LAC ,3.10,J. Brissett QB - IND ,14.12,A. Hooper TE - ATL ,1.20,M. Trubisky QB - CHI ,10.86,A. Vinatieri K - IND ,7.00,J. Edelman WR - NE ,0.00,T. Montgomery RB - GB ,0.00,C. Prosise RB - SEA ,0.00,-,-,97.34,Quinten,70.20
LeMar,10,M. Ryan QB - ATL ,15.38,D. Murray RB - TEN ,6.30,M. Gordon RB - LAC ,22.90,D. Thomas WR - DEN ,6.90,R. Matthews WR - TEN ,15.50,J. Thomas TE - MIA ,1.50,J. McKinnon RB - MIN ,13.80,C. Boswell K - PIT ,8.00,Seahawks DEF ,0.00,M. Stafford QB - DET ,17.38,R. Mathews RB ,0.00,E. Dickson TE - CAR ,0.00,B. Powell RB - NYJ ,10.40,R. Cobb WR - GB ,14.40,B. Watson TE - BAL ,13.40,R. Burkhead RB - NE ,7.70,M. Wheaton WR - CHI ,4.20,E. Lacy RB - SEA ,0.00,J. White RB - NE ,0.80,A. Hurns WR - JAX ,0.00,J. Doctson WR - WAS ,0.20,A. Collins RB - BAL ,5.20,M. Crosby K - GB ,6.00,Cardinals DEF ,4.00,-,-,-,-,-,-,90.28,Jeff,55.38
Quinten,6,A. Rodgers QB - GB ,21.90,M. Lynch RB - LV ,9.20,C. Hyde RB - SF ,3.90,R. Woods WR - LA ,10.50,A. Thielen WR - MIN ,3.00,J. Graham TE - SEA ,-0.10,D. Henry RB - TEN ,2.80,C. Catanzaro K - NYJ ,7.00,Lions DEF ,12.00,D. Jackson WR - TB ,1.80,D. Woodhead RB - BAL ,3.20,E. Sanders WR - DEN ,6.80,L. Fitzgerald WR - ARI ,6.00,P. Rivers QB - LAC ,7.08,M. Moore QB - MIA ,0.00,J. Doyle TE - IND ,4.70,E. Ebron TE - DET ,9.30,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,0.00,C. Sims RB - TB ,0.60,J. Brown WR - ARI ,0.00,B. Oliver RB - LAC ,0.00,T. Siemian QB - DEN ,0.68,W. Fuller WR - HOU ,4.40,-,-,-,-,-,-,70.20,Tilly,97.34
bob,1,D. Prescott QB - DAL ,13.68,L. Bell RB - PIT ,22.50,T. Gurley RB - LA ,42.00,A. Brown WR - PIT ,2.40,M. Thomas WR - NO ,15.30,T. Kelce TE - KC ,4.60,J. Howard RB - CHI ,6.30,M. Prater K - DET ,8.00,Steelers DEF ,4.00,D. Amendola WR - NE ,2.30,D. Bryant WR - DAL ,5.50,T. Taylor QB - BUF ,23.16,G. Olsen TE - CAR ,17.60,J. Kearse WR - NYJ ,2.80,C. Beasley WR - DAL ,1.50,M. Goodwin WR - SF ,12.40,D. Freeman RB - ATL ,25.40,D. Parker WR - MIA ,8.90,D. Booker RB - DEN ,4.90,C. Davis WR - TEN ,2.80,Z. Jones WR - BUF ,0.00,K. Hunt RB - KC ,32.60,A. Kamara RB - NO ,14.90,J. Smith-Schuster WR - PIT ,11.40,R. Tannehill QB - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Foreman RB - HOU ,0.00,118.78,Dannye Van,125.44
the old man,5,T. Brady QB - NE ,15.72,F. Gore RB - IND ,6.80,L. Murray RB - MIN ,16.40,T. Hilton WR - IND ,4.10,D. Funchess WR - CAR ,1.90,R. Gronkowski TE - NE ,18.80,D. Baldwin WR - SEA ,0.60,G. Zuerlein K - LA ,10.00,Ravens DEF ,20.00,G. Tate WR - DET ,3.30,D. Martin RB - TB ,0.00,G. Bernard RB - CIN ,10.30,M. Lee WR - JAX ,0.00,M. Bryant WR - PIT ,11.90,O. Darkwa RB - NYG ,7.60,A. Abdullah RB - DET ,2.10,M. Mariota QB - TEN ,18.04,A. Cooper WR - LV ,0.00,W. Gallman RB - NYG ,7.90,M. Williams WR - LAC ,0.00,Eagles DEF ,2.00,D. Cook RB - MIN ,0.00,-,-,-,-,-,-,-,-,-,-,94.32,-,-
Jeff,7,R. Wilson QB - SEA ,11.58,I. Crowell RB - CLE ,6.50,T. Coleman RB - ATL ,0.00,A. Green WR - CIN ,3.00,K. Allen WR - LAC ,5.40,T. Kroft TE - CIN ,0.10,P. Richardson WR - SEA ,1.80,R. Succop K - TEN ,13.00,Chiefs DEF ,14.00,M. Forte RB - NYJ ,3.40,J. Charles RB - DEN ,0.00,V. Davis TE - WAS ,-0.20,B. Marshall WR - NYG ,0.00,D. Brees QB - NO ,17.14,T. Eifert TE - CIN ,0.00,J. Landry WR - MIA ,9.90,O. Beckham WR - NYG ,0.00,M. Davis RB - SEA ,3.90,J. McKissic RB - SEA ,5.80,C. Kupp WR - LA ,2.10,D. Njoku TE - CLE ,0.00,T. Cohen RB - CHI ,1.70,C. Carson RB - SEA ,0.00,Saints DEF ,6.00,D. Johnson RB - ARI ,0.00,-,-,-,-,55.38,LeMar,90.28
Chris,9,A. Dalton QB - CIN ,0.52,D. Johnson RB - CLE ,10.30,J. Mixon RB - CIN ,0.00,D. Thompson WR - BUF ,1.60,T. Gabriel WR - ATL ,1.90,J. Witten TE - DAL ,4.70,C. Anderson RB - DEN ,15.80,M. Bryant K - ATL ,8.00,Buccaneers DEF ,1.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,0.00,M. Lewis TE - JAX ,1.80,C. Palmer QB - ARI ,0.00,A. Gates TE - LAC ,7.00,E. Manning QB - NYG ,27.36,C. Hogan WR - NE ,0.00,C. Thompson RB - WAS ,0.00,B. Coleman WR - NO ,-2.40,L. Treadwell WR - MIN ,0.00,J. Richard RB - LV ,2.10,G. Everett TE - LA ,0.00,E. McGuire RB - NYJ ,13.20,J. Tucker K - BAL ,9.00,Rams DEF ,17.00,-,-,-,-,-,-,43.82,Matthew,70.94
Matthew,8,K. Cousins QB - WAS ,15.84,D. Lewis RB - NE ,14.00,L. Fournette RB - JAX ,0.00,T. Ginn WR - NO ,0.00,M. Sanu WR - ATL ,2.60,Z. Ertz TE - PHI ,11.60,J. Ajayi RB - PHI ,8.90,G. Gano K - CAR ,7.00,Panthers DEF ,11.00,Z. Miller TE - CHI ,0.00,L. Blount RB - PHI ,2.10,E. Decker WR - TEN ,6.30,C. Ivory RB - JAX ,4.20,C. Fleener TE - NO ,0.00,K. Wright WR - CHI ,8.10,T. Riddick RB - DET ,4.10,T. Lockett WR - SEA ,0.80,T. Yeldon RB - JAX ,5.20,E. Elliott RB - DAL ,0.00,C. Wentz QB - PHI ,0.00,S. Shepard WR - NYG ,19.90,S. Hauschka K - BUF ,6.00,Texans DEF ,-3.00,D. Sproles RB - PHI ,0.00,-,-,-,-,-,-,70.94,Chris,43.82
