Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,Total,Opponent,Opponent Total
Will,2,C. Newton QB - CAR ,20.66,M. Ingram RB - NO ,25.00,L. Miller RB - HOU ,8.10,D. Adams WR - GB ,11.40,S. Diggs WR - MIN ,0.00,C. Brate TE - TB ,13.60,M. Evans WR - TB ,15.50,S. Gostkowski K - NE ,6.00,Patriots DEF ,11.00,J. Maclin WR - BAL ,0.00,K. Rudolph TE - MIN ,4.70,J. Jones WR - ATL ,7.20,J. Rodgers RB - TB ,0.70,S. Vereen RB - NYG ,0.40,A. Ellington RB - HOU ,0.00,J. Reed TE - WAS ,3.70,C. West RB - KC ,0.90,J. Winston QB - TB ,2.44,J. James TE - PIT ,0.00,K. White WR - CHI ,0.00,J. Goff QB - LA ,9.86,E. Engram TE - NYG ,14.20,M. Mack RB - IND ,1.80,Bills DEF ,0.00,T. Sharpe WR - TEN ,0.00,111.26,the old man,85.28
Dannye Van,4,D. Watson QB - HOU ,23.30,J. Allen RB - BAL ,6.60,A. Jones RB - GB ,4.20,M. Crabtree WR - LV ,11.20,D. Hopkins WR - HOU ,7.90,D. Walker TE - TEN ,1.40,K. Benjamin WR - BUF ,9.90,H. Butker K - KC ,7.00,Broncos DEF ,4.00,L. McCoy RB - BUF ,0.00,M. Jones WR - DET ,15.60,J. Kearse WR - NYJ ,7.90,A. Luck QB - IND ,0.00,A. Jeffery WR - PHI ,7.10,M. Gillislee RB - NE ,2.40,S. Watkins WR - LA ,1.10,D. Carr QB - LV ,6.84,W. Snead WR - NO ,1.10,P. Perkins RB - NYG ,0.00,T. Hill WR - KC ,2.50,R. Kelley RB - WAS ,0.00,O. Howard TE - TB ,1.50,S. Perine RB - WAS ,10.70,Redskins DEF ,5.00,-,-,75.50,Tilly,65.04
Tilly,6,A. Smith QB - KC ,15.14,T. Montgomery RB - GB ,3.10,C. McCaffrey RB - CAR ,12.40,J. Nelson WR - GB ,6.00,B. Cooks WR - NE ,9.30,J. Cook TE - LV ,1.40,T. Williams WR - LAC ,0.70,A. Vinatieri K - IND ,12.00,Jaguars DEF ,5.00,K. Britt WR - NE ,0.00,A. Dalton QB - CIN ,0.00,B. Roethlisberger QB - PIT ,11.88,A. Peterson RB - ARI ,25.40,K. Stills WR - MIA ,10.90,T. West RB - BAL ,0.00,P. Dorsett WR - NE ,0.00,T. Rawls RB - SEA ,0.00,J. Brissett QB - IND ,13.98,H. Henry TE - LAC ,9.00,A. Hooper TE - ATL ,4.80,C. Prosise RB - SEA ,0.00,R. Anderson WR - NYJ ,7.60,D. Bailey K - DAL ,0.00,Giants DEF ,20.00,J. Edelman WR - NE ,0.00,65.04,Dannye Van,75.50
LeMar,10,M. Ryan QB - ATL ,11.92,J. White RB - NE ,4.50,M. Gordon RB - LAC ,27.00,R. Matthews WR - TEN ,6.90,T. Austin WR - LA ,0.00,J. Thomas TE - MIA ,2.20,B. Powell RB - NYJ ,0.00,C. Boswell K - PIT ,5.00,Cardinals DEF ,6.00,M. Stafford QB - DET ,14.88,R. Mathews RB ,0.00,D. Thomas WR - DEN ,11.30,D. Murray RB - TEN ,14.70,R. Cobb WR - GB ,2.80,G. Olsen TE - CAR ,0.00,R. Burkhead RB - NE ,0.00,M. Wheaton WR - CHI ,0.00,E. Lacy RB - SEA ,0.00,J. McKinnon RB - MIN ,19.90,A. Hurns WR - JAX ,3.70,B. Perriman WR - BAL ,0.00,A. Humphries WR - TB ,5.10,J. Doctson WR - WAS ,7.10,Seahawks DEF ,0.00,-,-,63.52,Matthew,84.08
Quinten,3,A. Rodgers QB - GB ,0.72,M. Lynch RB - LV ,6.30,C. Hyde RB - SF ,19.50,D. Jackson WR - TB ,9.80,L. Fitzgerald WR - ARI ,17.80,J. Doyle TE - IND ,9.00,A. Thielen WR - MIN ,9.60,C. Catanzaro K - NYJ ,5.00,Lions DEF ,17.00,D. Woodhead RB - BAL ,0.00,J. Graham TE - SEA ,0.00,E. Sanders WR - DEN ,7.60,P. Rivers QB - LAC ,14.32,R. Woods WR - LA ,5.00,E. Ebron TE - DET ,0.90,A. Robinson WR - JAX ,0.00,D. Moncrief WR - IND ,6.70,C. Sims RB - TB ,4.50,J. Brown WR - ARI ,12.30,B. Oliver RB - LAC ,0.00,J. Nelson WR - ARI ,1.60,T. Siemian QB - DEN ,15.94,W. Fuller WR - HOU ,12.20,D. Henry RB - TEN ,20.50,-,-,94.72,Chris,62.72
bob,1,B. Bortles QB - JAX ,13.54,T. Gurley RB - LA ,12.00,K. Hunt RB - KC ,11.00,A. Brown WR - PIT ,21.50,M. Thomas WR - NO ,1.10,T. Kelce TE - KC ,3.70,L. Bell RB - PIT ,25.10,J. Elliott K - PHI ,10.00,Steelers DEF ,9.00,D. Amendola WR - NE ,4.00,D. Bryant WR - DAL ,0.00,C. Clay TE - BUF ,0.00,C. Beasley WR - DAL ,0.00,D. Freeman RB - ATL ,7.90,D. Parker WR - MIA ,0.00,M. Mitchell WR - NE ,0.00,D. Booker RB - DEN ,8.00,D. Prescott QB - DAL ,0.00,J. Howard RB - CHI ,17.60,C. Davis WR - TEN ,0.00,Z. Jones WR - BUF ,0.00,D. Foreman RB - HOU ,5.90,A. Kamara RB - NO ,8.70,J. Smith-Schuster WR - PIT ,3.20,-,-,106.94,Jeff,67.38
the old man,5,T. Brady QB - NE ,16.18,F. Gore RB - IND ,6.70,D. Martin RB - TB ,14.40,T. Hilton WR - IND ,1.90,D. Funchess WR - CAR ,3.60,R. Gronkowski TE - NE ,20.30,W. Gallman RB - NYG ,3.20,G. Zuerlein K - LA ,11.00,Eagles DEF ,8.00,G. Tate WR - DET ,15.60,T. Taylor QB - BUF ,0.00,D. Baldwin WR - SEA ,0.00,T. Pryor WR - WAS ,2.30,M. Goodwin WR - SF ,3.20,G. Bernard RB - CIN ,0.00,L. Murray RB - MIN ,3.80,M. Bryant WR - PIT ,2.70,A. Seferian-Jenkins TE - NYJ ,8.60,A. Abdullah RB - DET ,5.40,M. Mariota QB - TEN ,14.24,A. Cooper WR - LV ,2.80,C. Samuel WR - CAR ,0.80,M. Williams WR - LAC ,1.50,Ravens DEF ,20.00,D. Cook RB - MIN ,0.00,85.28,Will,111.26
Jeff,9,D. Brees QB - NO ,11.54,I. Crowell RB - CLE ,7.30,T. Coleman RB - ATL ,9.60,K. Allen WR - LAC ,4.50,J. Landry WR - MIA ,12.20,B. Watson TE - BAL ,2.80,T. Cohen RB - CHI ,7.44,R. Gould K - SF ,8.00,Chiefs DEF ,4.00,M. Forte RB - NYJ ,8.10,J. Charles RB - DEN ,2.10,A. Green WR - CIN ,0.00,B. Marshall WR - NYG ,0.00,R. Wilson QB - SEA ,0.00,T. Eifert TE - CIN ,0.00,S. Ware RB - KC ,0.00,O. Beckham WR - NYG ,0.00,J. McKissic RB - SEA ,0.00,C. Kupp WR - LA ,3.50,J. Conner RB - PIT ,1.40,D. Kizer QB - CLE ,0.00,D. Njoku TE - CLE ,0.00,C. Carson RB - SEA ,0.00,B. Walsh K - SEA ,0.00,D. Johnson RB - ARI ,0.00,67.38,bob,106.94
Chris,8,C. Palmer QB - ARI ,20.92,C. Thompson RB - WAS ,13.80,C. Anderson RB - DEN ,1.70,C. Hogan WR - NE ,1.90,T. Gabriel WR - ATL ,3.90,A. Gates TE - LAC ,1.60,D. Johnson RB - CLE ,3.90,M. Bryant K - ATL ,7.00,Buccaneers DEF ,8.00,C. Johnson RB ,0.00,P. Garcon WR - SF ,5.50,J. Cutler QB - MIA ,11.94,M. Lewis TE - JAX ,0.00,J. Witten TE - DAL ,0.00,E. Manning QB - NYG ,9.12,D. Thompson WR - BUF ,0.00,B. Coleman WR - NO ,2.30,L. Treadwell WR - MIN ,5.10,J. Richard RB - LV ,2.60,G. Everett TE - LA ,6.40,E. McGuire RB - NYJ ,2.20,J. Mixon RB - CIN ,0.00,J. Tucker K - BAL ,12.00,Rams DEF ,20.00,-,-,62.72,Quinten,94.72
Matthew,7,C. Wentz QB - PHI ,21.38,E. Elliott RB - DAL ,0.00,L. Fournette RB - JAX ,19.80,E. Decker WR - TEN ,8.80,K. Wright WR - CHI ,3.60,Z. Miller TE - CHI ,8.50,T. Lockett WR - SEA ,0.00,S. Hauschka K - BUF ,0.00,Texans DEF ,22.00,L. Blount RB - PHI ,8.70,D. Lewis RB - NE ,11.20,T. Ginn WR - NO ,12.90,C. Ivory RB - JAX ,13.70,K. Cousins QB - WAS ,27.80,C. Fleener TE - NO ,0.00,M. Sanu WR - ATL ,0.00,T. Riddick RB - DET ,5.30,Z. Ertz TE - PHI ,13.80,T. Yeldon RB - JAX ,0.00,J. Ajayi RB - PHI ,13.00,S. Shepard WR - NYG ,0.00,G. Gano K - CAR ,11.00,Panthers DEF ,4.00,D. Sproles RB - PHI ,0.00,-,-,84.08,LeMar,63.52
